DateTime,AddedIPs,RemovedIPs
1654970048,14,4
1654970768,6,12
1654971970,8,0
1654973104,9,13
1654973287,2,1
1654975088,11,7
1654975810,6,9
1654976947,7,3
1654978050,13,19
1654979768,20,12
1654980488,3,2
1654980849,3,1
1654981570,7,7
1654983370,18,16
1654983728,5,0
1654985584,11,13
1654986616,10,14
1654987688,13,2
1654988047,1,0
1654989127,7,9
1654990209,8,14
1654991287,8,3
1654992427,5,10
1654993087,4,1
1654993448,5,0
1654994887,12,21
1654995969,12,11
1654997769,14,20
1654998487,5,2
1654999927,10,9
1655000647,9,1
1655002089,14,26
1655003595,12,16
1655004614,12,18
1655006410,17,12
1655007126,6,2
1655007847,9,2
1655009646,13,15
1655010787,11,10
1655011928,6,16
1655012528,3,0
1655013248,3,0
1655013968,5,11
1655014689,1,2
1655015769,4,15
1655016847,7,2
1655019009,19,20
1655019368,2,0
1655020507,1,1
1655021169,4,12
1655022308,7,3
1655023327,7,16
1655024047,8,1
1655025187,8,9
1655026568,6,19
1655026928,2,0
1655027647,7,1
1655029451,15,12
1655029809,0,12
1655030888,6,5
1655032028,9,5
1655032328,2,2
1655033409,11,17
1655034128,5,5
1655034847,8,1
1655036647,17,14
1655037008,6,12
1655038087,7,3
1655038447,6,1
1655039167,5,11
1655039917,7,0
1655041688,16,17
1655043490,23,21
1655044209,14,12
1655045286,18,3
1655046428,20,14
1655047567,44,1
1655048527,24,24
1655048887,10,1
1655050687,36,10
1655051409,2,10
1655052127,8,1
1655052487,8,0
1655054289,20,15
1655055009,10,21
1655056088,12,7
1655057228,11,7
1655057915,14,2
1655058613,16,16
1655058968,3,1
1655060769,32,16
1655061488,9,1
1655061847,6,0
1655063288,26,6
1655064728,21,6
1655065447,10,1
1655067248,20,40
1655069408,42,37
1655069769,3,2
1655071570,27,10
1655072341,13,4
1655074087,20,12
1655075888,27,18
1655077328,25,16
1655078047,13,0
1655079848,39,17
1655080211,6,16
1655080928,10,2
1655081647,10,2
1655082370,9,16
1655083088,12,0
1655084169,17,9
1655084887,10,63
1655085247,4,1
1655087466,23,148
1655088129,10,3
1655089929,30,10
1655090653,11,1
1655091370,4,29
1655092089,5,4
1655092446,4,0
1655093888,25,5
1655094609,9,13
1655094967,3,3
1655095687,6,3
1655096047,3,0
1655098210,15,21
1655099649,9,10
1655100730,13,12
1655101809,5,17
1655102527,6,9
1655103247,5,1
1655104390,8,10
1655105049,8,2
1655106246,11,14
1655107389,11,15
1655108339,7,0
1655110088,18,10
1655110447,9,0
1655112247,16,10
1655113387,12,8
1655114047,5,0
1655115127,11,2
1655116928,20,14
1655117647,3,4
1655118787,13,5
1655119928,7,6
1655121248,9,3
1655122686,11,11
1655124488,13,15
1655126332,21,3
1655126646,3,2
1655127370,9,12
1655127727,5,0
1655128448,5,2
1655129527,10,11
1655130667,8,9
1655131328,5,5
