DateTime,AddedIPs,RemovedIPs
1653630852,1,0
1653633017,0,1
1653643091,0,1
1653645249,9,0
1653649931,1,0
1653653530,0,1
1653658224,1,1
1653660791,0,1
1653661885,1,0
1653669372,0,1
1653676573,0,1
1653678371,1,0
1653680171,0,1
1653683416,1,0
1653687370,0,1
1653689172,1,0
1653690020,1,0
1653703573,0,1
1653708973,0,2
1653711849,1,0
1653713290,0,1
1653715090,4,0
1653716532,1,0
1653725171,1,0
1653726971,0,1
1653728426,0,1
1653730213,0,1
1653733816,0,1
1653737771,0,1
1653743663,2,0
1653747490,0,1
1653750789,0,1
1653757226,0,4
1653765851,1,0
1653766570,0,1
1653769816,0,1
1653773770,0,1
1653778450,0,1
1653779170,0,1
1653783490,1,0
1653785291,1,1
1653790332,0,1
1653794510,1,1
1653801130,0,1
1653805452,1,0
1653815171,0,2
1653820213,1,0
1653821292,0,1
1653831369,1,0
1653834616,0,1
1653845050,1,0
1653848656,1,0
1653870613,0,1
1653878892,0,1
1653884290,2,0
1653888614,0,1
1653892569,1,2
1653899414,0,1
1653903729,10,0
1653904093,5,0
1653904829,2,1
1653906251,3,0
1653908052,15,1
1653908774,3,0
1653910214,14,1
1653911651,9,0
1653912371,6,0
1653913451,3,0
1653914548,6,0
1653915253,3,0
1653915972,4,0
1653916773,4,0
1653917413,4,0
1653917772,2,0
1653918491,2,0
1653919226,3,0
1653920293,5,0
1653921432,6,0
1653922092,3,0
1653923891,5,0
1653924614,1,0
1653925332,1,0
1653927133,7,0
1653927850,2,0
1653928575,1,0
1653929291,1,0
1653931092,2,0
1653934332,6,0
1653935413,1,0
1653936551,1,0
1653937573,2,0
1653938292,1,0
1653941172,2,0
1653944431,3,0
1653945132,1,0
1653952690,2,0
1653954852,2,1
1653962592,1,1
1653965352,0,1
1653971413,1,0
1653972852,6,0
1653978615,1,0
1653982272,1,0
1653984372,1,0
1653997690,1,0
1654009570,1,0
1654038431,0,1
1654046650,1,0
1654048451,0,1
1654054572,0,2
1654058530,0,1
1654059251,1,0
1654060691,1,2
1654063572,0,1
1654067529,0,1
1654068972,0,1
1654070161,2,0
1654072214,0,6
1654072932,0,1
1654076170,0,3
1654079773,0,1
1654085533,0,2
1654087692,1,0
1654090214,0,1
1654092370,0,1
1654093814,0,1
1654095972,0,1
1654096691,1,0
1654097769,0,1
1654103531,1,0
1654104972,0,2
1654110731,2,0
1654115830,0,1
1654130171,0,1
1654137373,0,1
1654138093,0,1
1654142050,0,1
1654143851,0,3
1654144570,5,1
1654145711,1,0
1654147452,1,0
1654148170,0,2
1654151771,0,1
1654156089,0,1
1654165090,1,0
1654168031,1,0
1654170133,0,1
1654172290,0,1
1654179491,0,1
1654182370,0,2
1654183813,0,1
1654192823,0,1
1654198575,0,1
1654202891,1,0
1654205413,0,1
1654207571,1,0
1654213332,0,1
1654215130,1,0
1654219813,0,2
1654223417,0,2
1654225931,0,1
1654230617,0,2
1654238892,0,1
1654241050,1,0
1654245376,0,1
1654248616,0,1
1654258691,0,1
1654264231,0,1
1654273450,0,1
1654273813,1,0
1654278637,1,1
1654286774,2,1
1654291821,1,0
1654295414,0,2
1654298650,0,1
1654301532,1,0
1654302627,0,1
1654302969,0,1
1654304771,0,1
1654307650,1,0
1654310174,0,3
1654312527,0,2
