DateTime,AddedIPs,RemovedIPs
1654454887,40,36
1654457044,39,39
1654459205,40,38
1654461128,41,38
1654463075,47,42
1654464969,38,50
1654467130,45,40
1654469045,40,44
1654470990,47,39
1654472890,45,47
1654475046,43,43
1654477233,45,45
1654479368,37,42
1654481311,51,39
1654483204,51,52
1654485403,57,48
1654487524,55,59
1654489685,47,52
1654491646,57,52
1654493526,56,57
1654495690,48,56
1654497631,43,48
1654499525,46,46
1654501686,41,41
1654503633,54,45
1654505551,50,51
1654507448,54,51
1654509643,54,53
1654511524,47,53
1654513713,43,49
1654515614,37,40
1654518654,48,42
1654520548,38,44
1654523969,48,42
1654526530,35,48
1654528597,53,31
1654530535,45,49
1654533491,32,51
1654535322,44,31
1654537477,18,46
1654540844,54,21
1654544170,52,53
1654547426,45,48
1654549297,42,46
1654551452,53,44
1654553526,50,55
1654555687,47,47
1654557603,47,45
1654559554,62,49
1654561447,56,63
1654563615,51,55
1654565768,53,49
1654567925,45,55
1654570085,40,43
1654572248,62,41
1654574419,53,64
1654576324,53,50
1654578276,39,59
1654580165,64,36
1654582325,63,65
1654584489,55,61
1654586651,53,57
1654588598,47,50
1654590751,55,47
1654592652,51,57
1654594564,56,49
1654596516,52,56
1654598644,51,54
1654601063,61,50
1654602992,44,55
1654605761,47,46
1654608866,40,49
1654612198,39,37
1654614098,49,45
1654616026,53,47
1654617913,45,52
1654619801,43,47
1654622158,37,42
1654624085,33,37
1654626274,44,32
1654628168,52,46
1654630115,55,52
1654632011,61,55
1654633932,51,54
1654635872,49,53
1654638006,54,51
1654639953,45,55
1654641845,51,45
1654643795,49,51
1654645684,50,47
1654647630,51,54
1654649525,50,50
1654651445,44,51
1654653393,39,43
1654655552,49,41
1654657446,60,49
1654659391,63,60
1654661285,60,62
1654663204,48,59
1654665152,63,51
1654667286,51,63
1654669448,60,50
1654671367,47,51
1654673309,40,53
1654675206,52,44
1654677364,46,51
1654679530,47,46
1654681417,40,43
1654683372,48,38
1654685530,57,56
1654687444,51,53
1654689396,38,49
1654691286,44,42
1654693446,40,43
1654695392,53,38
1654697286,56,51
1654699207,43,61
1654701155,52,42
1654703045,53,50
1654704964,51,53
1654706911,50,55
1654708803,57,48
1654710966,45,53
1654713124,44,45
1654715285,48,48
1654717206,35,46
1654719151,42,38
1654721046,43,41
1654722966,42,41
1654724914,49,45
1654727074,46,47
1654728965,47,45
1654731125,35,44
1654733050,43,35
1654734992,49,42
1654736892,43,54
1654739047,55,47
1654741204,52,51
1654743125,57,51
1654745072,64,63
1654746964,55,62
1654749125,66,53
1654751290,68,69
1654753204,47,64
1654755152,55,53
1654757048,48,52
1654758990,68,47
1654761127,57,68
1654763071,50,61
1654764967,58,48
1654767125,55,59
1654769288,60,55
1654771450,38,57
1654773609,37,34
1654775766,52,38
1654777929,42,54
1654779876,48,44
1654781769,53,47
1654783931,51,49
1654786088,48,51
1654788250,56,50
1654790411,53,55
1654792567,62,54
1654794724,45,60
1654796647,50,47
1654798591,52,53
1654800489,44,51
1654802646,44,43
1654804812,53,43
1654806965,51,54
1654809127,60,49
1654811049,48,64
1654812915,50,45
1654814884,62,52
1654817049,55,64
1654818994,51,57
1654820888,51,44
1654822809,49,57
1654824724,55,47
1654826677,51,52
1654828565,62,56
1654830757,59,61
1654832914,66,59
1654834806,63,63
1654836751,56,62
1654838647,47,59
1654840594,76,50
1654842726,61,71
1654844679,66,65
1654846567,62,65
1654848754,46,64
1654850646,67,46
1654852593,53,59
1654854726,55,55
1654856671,41,59
1654858565,59,42
1654860510,47,53
1654862412,61,50
1654864354,72,63
1654866248,55,67
1654868190,52,55
1654870355,52,52
1654872245,49,52
1654874165,59,54
1654876356,57,56
1654878247,64,56
1654880191,54,62
1654882355,50,54
1654884251,45,52
1654886164,49,48
1654888350,55,49
1654890246,56,54
1654892167,52,54
1654894356,43,50
1654896245,44,45
1654898164,52,47
1654900112,49,50
1654902006,47,47
1654903925,50,48
1654906119,40,50
1654908012,48,39
1654909953,43,47
1654911853,43,46
1654913792,40,46
1654915692,60,39
1654917632,45,56
1654919528,46,48
1654921686,51,50
1654923850,52,45
1654925795,48,55
1654927690,61,48
1654929635,62,61
1654931524,62,63
1654933691,50,58
1654935846,45,51
1654938009,44,47
1654940166,57,42
1654942330,57,55
1654944272,46,57
1654946164,46,49
1654948330,67,48
1654950490,54,66
1654952413,60,52
1654954353,56,58
1654956489,64,58
1654958407,54,63
1654960351,49,51
1654962246,55,52
1654964165,57,54
1654966113,52,55
1654968006,52,53
1654970167,51,50
1654972006,51,53
1654974039,49,53
1654975926,56,49
1654977874,53,52
1654979765,60,57
1654981685,56,60
1654983633,49,51
1654985524,52,50
1654987445,59,52
1654989389,44,60
1654991288,41,43
1654993205,51,46
1654995129,63,54
1654997074,48,58
1654998966,64,53
1655000887,53,59
1655002835,55,49
1655004992,59,59
1655007150,54,63
1655009046,64,55
1655010963,55,61
1655012913,53,56
1655014829,58,50
1655016727,60,62
1655018674,70,61
1655020568,45,63
1655022402,57,48
1655024444,53,62
1655026329,46,52
1655028271,54,44
1655030163,48,53
1655032328,47,52
1655034270,51,44
1655036163,65,53
1655038327,49,63
1655040274,57,50
1655042163,48,53
1655044084,50,49
1655046005,54,50
1655047949,45,51
1655049846,44,46
1655051766,50,48
1655053713,47,49
1655055604,53,49
1655057524,46,53
1655059470,55,43
1655061365,47,58
1655063530,43,45
1655065470,55,36
1655067366,56,60
1655069554,59,57
1655071445,56,59
1655073393,51,55
1655075549,51,54
1655077446,50,47
1655079364,47,55
1655081312,54,48
1655083204,47,50
1655085151,48,46
1655087045,49,49
1655088991,55,50
1655090886,53,55
1655092804,59,52
1655094724,53,58
1655096650,40,57
1655098654,37,38
1655100484,52,38
1655102404,65,48
1655104592,43,69
1655106485,43,43
1655108648,31,41
1655110805,61,35
1655112968,54,59
1655114914,57,54
1655116807,58,56
1655118972,61,59
1655120912,63,63
1655122809,52,62
1655124973,43,52
1655126913,70,41
