DateTime,AddedIPs,RemovedIPs
1645995045,68,2
1645995940,0,1
1645996545,0,1
1646002847,1,0
1646009142,1,0
1646034040,2,0
1646086545,0,2
1646193642,1,0
1646209540,0,10
1646281845,0,1
1646321443,0,1
1646321739,0,2
1646322641,0,1
1646358638,0,1
1646418338,0,1
1646575245,2,0
1646643646,1,0
1646650842,1,0
1646664937,1,0
1646668849,1,0
1646677846,0,2
1646858438,1,0
1646877037,0,1
1646894416,1,28099
1646894748,28099,1
1646899542,1,0
1646989534,1,0
1647049236,1,0
1647124245,1,0
1647177339,1,0
1647191743,1,0
1647196841,1,0
1647217541,1,0
1647230140,1,0
1647265545,1,0
1647292240,19,0
1647303638,1,0
1647318642,2,0
1647341148,0,1
1647390939,1,0
1647393040,1,0
1647394246,1,0
1647396045,0,1
1647396642,1,0
1647406843,1,0
1647443743,1,0
1647458145,2,0
1647458441,1,0
1647493838,1,0
1647514235,0,1
1647563737,1,0
1647565841,1,0
1647600312,1,661195
1647600641,661195,1
1647606327,1,0
1647606922,1,0
1647622535,2,0
1647648027,1,0
1647650426,1,1
1647651026,0,1
1647651624,0,1
1647653424,0,1
1647653724,0,1
1647654024,0,2
1647655223,1,0
1647683714,1,212330
1647684034,212330,1
1647695410,1,430310
1647695727,430310,1
1647696310,1,440040
1647696625,440040,1
1647697210,0,447226
1647697523,447226,0
1647698110,1,455397
1647698424,455397,1
1647699010,1,463063
1647699327,463063,1
1647700809,1,486871
1647701123,486871,1
1647701712,1,495381
1647702025,495381,1
1647703216,1,79302
1647703508,0,435663
1647703822,514964,0
1647704408,4,523476
1647705016,427266,1
1647705307,0,437916
1647705623,534128,0
1647705915,1,102345
1647706207,34,546738
1647706521,649100,1
1647707108,0,660226
1647707421,660226,0
1647708007,0,670388
1647708640,670389,0
1647708911,1,541333
1647709237,541333,1
1647710726,1,0
1647712829,2,0
1647730826,1,0
1647736830,1,0
1647741332,1,0
1647744024,0,1
1647745529,0,2
1647746134,0,1
1647747327,0,1
1647747629,0,1
1647754227,25,0
1647754822,8,0
1647755425,1,0
1647772542,1,0
1647777641,1,0
1647778540,1,0
1647790241,1,0
1647792343,1,0
1647799243,1,0
1647801044,0,1
1647805838,1,0
1647816638,1,0
1647831940,1,0
1647842740,1,0
1647845737,1,0
1647859550,0,1
1647870040,1,0
1647883848,1,0
1647885041,0,1
1647895244,1,0
1647904242,1,0
1647943243,2,0
1647966939,0,2
1648016438,1,0
1648141245,1,0
1648167038,1,0
1648167642,1,0
1648171538,1,0
1648222842,0,1
1648291540,0,1
1648310441,1,0
1648339838,1,0
1648340442,1,0
1648427446,2,0
1648429244,1,0
1648429837,2,0
1648430141,2,0
1648434317,0,72470
1648434640,72470,0
1648460144,1,0
1648460441,1,0
1648481143,0,1
1648666537,1,0
1648670137,1,0
1648701339,1,0
1648733742,0,1
1648734638,0,2
1648828845,1,0
1649011840,1,0
1649012138,2,0
1649099143,1,0
1649146545,0,1
1649312745,0,1
1649340945,1,0
1649370639,0,1
1649394945,0,1
1649419244,1,0
1649508938,1,0
1649552442,1,0
1649557842,0,2
1649567744,0,1
1649592041,1,0
1649636141,2,0
1649636741,2,0
1649637337,1,0
1649637637,3,0
1649637940,2,0
1649638239,3,0
1649639736,1,0
1649640337,2,0
1649640935,3,0
1649641537,1,0
1649642440,1,0
1649643031,2,1
1649643631,3,0
1649645430,1,0
1649646033,1,0
1649646339,1,0
1649646936,1,0
1649669447,0,1
1649689236,1,0
1649715333,0,1
1649826640,1,0
1649827240,1,0
1649841940,3,0
1649859039,1,0
1650034844,1,0
1650047741,1,0
1650048938,1,0
1650074442,1,0
1650100240,1,0
1650101741,0,1
1650128442,1,0
1650204342,0,1
1650212738,1,0
1650219941,0,1
1650225641,1,0
1650328246,0,2
1650424238,0,1
1650438043,1,0
1650470740,0,2
1650571245,1,0
1650605739,1,0
1650661242,1,0
1650878438,0,1
1650883540,0,1
1650969939,0,1
1651457741,1,0
1651458340,1,0
1651460445,1,0
1651461343,1,0
1651461640,1,0
1651461941,2,0
1651464045,1,0
1651466142,1,0
1651467644,4,0
1651471247,1,0
1651489243,1,0
1651496444,1,0
1651514137,2,0
1651514444,1,0
1651518641,2,0
1651518942,1,0
1651519241,1,0
1651521942,4,0
1651525245,8,0
1651533938,0,1
1651630540,0,1
1651759246,1,0
1651765839,1,0
1651766444,2,0
1651782644,1,0
1651783846,1,0
1651785343,1,0
1651788640,1,0
1651791646,1,0
1651792841,1,0
1651798238,1,0
1651807243,1,0
1652016645,1,0
1652215845,1,0
1652216448,1,0
1652218841,1,0
1652220051,2,0
1652313644,1,0
1652487640,1,0
1652488539,3,0
1652489739,1,0
1652490043,1,0
1652491242,2,0
1652494543,2,0
1652497245,5,0
1652504441,3,0
1652507441,4,0
1652508045,2,0
1652511644,2,0
1652512548,2,0
1652515243,2,0
1652560245,1,0
1652565644,2,0
1652620240,1,0
1652644842,1,0
1652652050,2,0
1652688046,1,0
1652693146,1,0
1652693740,1,0
1652694643,1,0
1652698847,2,0
1652718043,0,1
1652760043,6,0
1652803246,1,0
1652814044,1,0
1652842839,1,0
1652844038,3,0
1652846440,1,0
1652858744,3,0
1652864442,1,0
1652875245,1,0
1652878844,1,0
1652922044,1,0
1652947247,2,0
1652950848,1,0
1653006342,3,0
1653008447,4,0
1653066044,1,0
1653116443,1,0
1653120042,2,0
1653123641,1,0
1653133240,2,0
1653156044,4,0
1653159642,1,0
1653184241,1,0
1653184841,2,0
1653192046,1,0
1653199244,1,0
1653203748,2,0
1653205239,1,0
1653206446,2,0
1653218441,1,0
1653220847,2,0
1653225941,1,0
1653231339,1,0
1653237043,1,0
1653253246,3,0
1653256851,2,0
1653264047,4,0
1653267644,6,0
1653270644,0,1
1653271245,2,1
1653271840,0,1
1653274844,5,0
1653278446,2,0
1653282045,2,0
1653285644,2,0
1653286240,1,0
1653296442,1,0
1653303042,0,1
1653319242,1,0
1653319847,1,0
1653322240,1,0
1653324643,1,0
1653336043,2,0
1653339646,2,0
1653343247,2,0
1653347438,1,0
1653351640,1,0
1653353443,1,0
1653364844,2,0
1653368449,1,0
1653370841,0,1
1653382848,2,0
1653426044,1,0
1653436845,1,0
1653446745,1,0
1653451243,1,0
1653453044,1,0
1653457242,0,1
1653481542,1,0
1653504643,1,0
1653505242,2,0
1653516948,1,0
1653519646,1,0
1653537643,1,0
1653544241,1,0
1653552050,1,0
1653566139,1,0
1653573648,1,0
1653577252,3,0
1653579341,1,0
1653580539,2,0
1653581443,1,0
1653587739,1,0
1653588343,1,0
1653590744,2,0
