DateTime,AddedIPs,RemovedIPs
1651277041,363,360
1651287841,806,798
1651298641,582,586
1651309441,457,461
1651320241,396,396
1651331041,341,343
1651331461,254,0
1651341841,467,481
1651343182,252,0
1651352641,402,394
1651363441,410,408
1651374241,850,852
1651385041,829,825
1651395841,644,639
1651406641,430,437
1651417441,449,446
1651428241,437,487
1651432812,1,1
1651439041,388,384
1651449841,349,344
1651460641,941,933
1651471441,514,535
1651482241,485,477
1651493041,441,448
1651503841,437,431
1651514641,488,489
1651520189,3,1
1651525441,398,402
1651536241,402,401
1651547041,1038,1034
1651557842,568,571
1651568641,416,423
1651579441,389,380
1651590241,408,919
1651601041,398,395
1651603280,45,25
1651607767,1,1
1651611841,345,346
1651622641,432,431
1651633441,953,949
1651644241,433,445
1651651450,1,0
1651655041,432,428
1651665841,409,409
1651670776,506,0
1651676641,379,380
1651678876,1396,0
1651687441,404,407
1651690577,58,36
1651698241,366,363
1651709041,324,321
1651719841,871,873
1651730641,459,466
1651738810,1,0
1651741441,449,458
1651752241,470,467
1651763041,372,368
1651766159,255,256
1651773841,485,933
1651782488,3,2
1651784641,391,391
1651795441,357,356
1651806241,979,971
1651817041,516,517
1651827841,414,421
1651838641,386,385
1651849441,501,496
1651860241,367,561
1651870333,1,1
1651871041,373,370
1651881841,493,504
1651892641,877,868
1651903441,537,536
1651914241,459,459
1651925041,432,430
1651931787,0,254
1651935841,458,448
1651936277,241,0
1651946641,347,355
1651948881,20,40
1651957441,436,444
1651968241,403,405
1651979041,1106,1090
1651989841,662,666
1652000641,755,750
1652011441,385,387
1652022241,380,381
1652033041,412,415
1652034379,25,42
1652043841,340,340
1652045771,1,1
1652054641,382,380
1652065441,688,680
1652076241,400,415
1652087041,409,398
1652097841,420,422
1652108641,391,391
1652119441,449,452
1652130241,349,353
1652141041,322,331
1652151841,709,724
1652162641,384,395
1652173441,462,451
1652177055,1,0
1652184241,499,496
1652195041,370,370
1652205841,430,420
1652216641,383,383
1652220729,1,2
1652227441,408,411
1652238241,716,720
1652249041,477,487
1652259841,485,475
1652270641,443,450
1652281441,433,430
1652292241,649,680
1652303041,475,470
1652308114,1,1
1652313841,396,392
1652324641,849,843
1652335441,574,561
1652346241,459,453
1652351794,1,0
1652357041,506,502
1652367841,372,374
1652378641,432,425
1652389441,369,364
1652395475,2,3
1652400241,336,334
1652411041,945,954
1652421841,419,425
1652432641,506,501
1652443441,671,660
1652451078,0,254
1652454241,516,518
1652465041,440,441
1652466382,57,42
1652475842,384,383
1652482847,252,0
1652486641,347,332
1652497441,1043,1067
1652508241,517,496
1652519041,401,400
1652529841,418,428
1652540641,356,356
1652542856,255,0
1652551441,335,331
1652554772,38,34
1652562241,400,402
1652573041,325,317
1652583841,910,910
1652594641,777,779
1652605441,726,720
1652616241,413,414
1652618488,0,255
1652627041,375,379
1652637841,399,394
1652639181,25,29
1652648641,337,336
1652658008,2,1
1652659441,410,406
1652670241,953,946
1652681041,724,713
1652691841,722,720
1652702641,530,527
1652708489,0,230
1652713441,464,467
1652724241,472,468
1652724679,49,28
1652735041,462,458
1652745857,1,0
1652748986,443,435
1652756641,965,976
1652767441,715,722
1652778241,539,547
1652789529,449,444
1652798488,0,512
1652799841,443,447
1652807476,0,196
1652810641,518,474
1652811978,0,253
1652821441,575,565
1652832241,470,471
1652843041,1020,1018
1652853841,705,715
1652864641,563,565
1652875441,527,526
1652877138,2,2
1652881285,0,253
1652886241,533,528
1652897041,608,518
1652907841,413,407
1652918641,465,461
1652920830,0,1
1652922683,255,0
1652929441,1123,1119
1652940241,283,287
1652951041,269,273
1652962119,1276,1265
1652964731,3,2
1652972641,587,590
1652976674,253,0
1652983441,1055,500
1652994241,469,473
1653005041,442,445
1653008413,1,1
1653015841,1178,1153
1653026641,551,559
1653037441,521,525
1653048241,478,462
1653052113,0,1
1653059041,746,500
1653059476,256,0
1653069841,445,449
1653072080,30,28
1653080641,397,386
1653091441,391,391
1653095793,0,257
1653102241,1252,1168
1653113041,506,530
1653123841,472,487
1653134641,450,445
1653140477,0,510
