DateTime,AddedIPs,RemovedIPs
1655017322,28,66
1655018522,14,17
1655019722,7,27
1655020322,9,5
1655020923,1,6
1655021522,0,19
1655022122,0,17
1655023322,2,15
1655024522,5,0
1655025722,16,30
1655026323,7,0
1655026922,14,7
1655028122,10,38
1655029322,2,61
1655030522,3,12
1655031722,11,32
1655032922,9,0
1655033522,7,2
1655034122,7,0
1655034722,17,2
1655035922,6,11
1655036522,15,0
1655037722,16,12
1655038922,6,37
1655040122,77,9
1655041322,7,13
1655041922,11,0
1655042522,6,1
1655043722,7,11
1655044922,12,19
1655046122,13,11
1655046722,9,8
1655047321,4,7
1655048522,10,5
1655049722,8,13
1655050322,64,5
1655050922,12,21
1655051523,0,21
1655052122,18,3
1655053322,1,14
1655053922,19,27
1655054522,1,0
1655055722,3,0
1655056322,1,9
1655057522,4,10
1655058122,15,6
1655058722,5,0
1655059922,8,18
1655061122,20,5
1655061722,7,80
1655062922,6,5
1655064122,8,13
1655065322,7,17
1655066522,9,39
1655067722,13,13
1655068322,11,23
1655069522,14,13
1655070122,5,0
1655071322,44,25
1655072522,12,8
1655073722,12,11
1655074922,13,0
1655076122,13,15
1655077322,15,9
1655078523,17,14
1655079722,12,14
1655080922,19,14
1655082122,18,26
1655083323,21,15
1655084522,16,15
1655085722,10,0
1655086322,15,19
1655086922,11,6
1655087523,1,0
1655088122,14,0
1655088722,6,10
1655089922,17,18
1655091123,20,10
1655091722,26,12
1655092922,6,18
1655094122,5,40
1655095322,11,50
1655096522,5,4
1655097722,13,7
1655098322,9,0
1655098922,16,0
1655099521,6,23
1655101322,19,27
1655101923,41,17
1655102522,15,0
1655103722,16,41
1655104922,15,5
1655105522,27,0
1655106122,20,12
1655107322,18,1
1655108522,17,3
1655109722,21,9
1655110922,13,13
1655112123,33,11
1655112722,11,6
1655113322,18,0
1655114522,3,19
1655115122,2,0
1655115722,6,1
1655116322,4,4
1655116922,4,0
1655117522,4,13
1655118722,25,0
1655119322,8,0
1655119922,29,2
1655120522,8,3
1655121122,10,0
1655121723,3,3
1655122922,9,7
1655123523,5,14
1655124122,4,0
1655124722,15,0
1655125322,12,8
1655125922,53,87
1655127122,2,0
1655127723,2,0
1655128322,15,0
1655128922,20,3
1655129522,11,14
1655130122,7,0
1655130722,2,0
1655131322,9,3
1655132522,7,18
1655133722,17,3
1655134322,3,27
1655134922,4,1
1655136122,11,7
1655137322,8,61
1655137923,7,8
1655138522,4,4
1655139722,2,15
1655140322,1,4
1655140922,10,6
1655141522,2,0
1655142122,8,10
1655143322,8,22
1655143922,18,0
1655144522,5,0
1655145722,7,22
1655146322,5,5
1655146922,49,0
1655148122,5,30
1655149322,12,25
1655149922,5,0
1655150522,1,16
1655151722,4,10
1655152922,10,2
1655153522,9,0
1655154122,16,14
1655154722,2,0
1655155321,10,6
1655156523,13,20
1655157122,6,0
1655158322,7,73
1655158922,3,0
1655160122,3,22
1655160722,15,0
1655161322,4,10
1655162522,2,0
1655163722,7,17
1655164922,8,0
1655166122,15,8
1655167322,14,15
1655168522,17,14
1655169722,5,0
1655170922,15,9
1655172122,7,1
1655173322,8,20
1655174522,10,17
1655175121,11,9
1655176322,9,0
1655176922,12,29
1655177522,46,17
1655178122,7,27
1655179322,6,0
1655180522,7,10
1655181722,5,0
1655182922,3,8
1655184122,11,5
1655184722,9,18
1655185322,4,5
1655186522,6,14
1655187122,9,15
1655188322,5,43
1655188922,4,2
1655189522,15,0
1655190122,8,30
1655190722,10,0
1655191322,12,0
1655191922,2,30
1655192522,4,12
1655193122,3,0
1655193722,4,0
1655194322,4,13
1655194922,8,16
1655195522,1,0
1655196122,1,0
1655197322,7,15
1655197922,14,0
1655198521,3,38
1655199122,3,2
1655199722,0,11
1655200321,11,0
1655200922,20,0
1655201522,2,2
1655202722,5,3
1655203322,14,0
1655203922,3,3
1655205122,5,21
1655205722,7,0
1655206922,6,23
1655207521,7,20
1655208721,0,2
1655209322,6,0
1655209922,4,8
1655210522,10,25
1655211122,4,20
1655211722,33,13
1655212922,9,0
1655213523,8,65
1655214122,7,1
1655215322,16,21
1655216522,4,5
1655217722,6,3
1655218922,10,26
1655220121,5,2
1655221322,11,5
1655221922,18,5
1655222522,9,28
1655223722,3,2
1655224922,3,13
1655225522,7,5
1655226122,2,0
1655226721,5,0
1655227322,3,1
1655227922,13,9
1655228521,6,1
1655229722,5,19
1655230922,10,48
1655232122,0,9
1655233322,2,18
1655234521,12,69
1655235122,1,2
1655235722,1,13
1655236321,8,0
1655236922,4,1
1655238122,3,2
1655239322,8,8
1655239922,14,4
1655240521,8,15
1655241722,10,49
1655242922,0,29
1655243522,5,22
1655244122,1,27
1655244722,3,5
1655245922,9,0
1655246521,15,0
1655247122,5,31
1655247722,4,0
1655248922,23,7
1655250122,17,0
1655251322,18,18
1655252522,18,0
1655253722,7,24
1655254922,10,18
1655256122,14,3
1655257322,14,40
1655257922,18,0
1655258522,3,9
1655259122,9,0
1655259722,0,16
1655260922,7,14
1655261522,13,0
1655262122,6,18
1655263321,3,24
1655264522,16,61
1655265722,9,5
1655266922,1,0
1655268122,9,12
1655269322,9,0
1655270522,4,5
1655271722,5,16
1655272922,13,5
1655274122,7,11
1655275322,7,0
1655275922,4,11
1655277122,7,24
1655277722,3,0
1655278322,3,2
1655278922,11,0
1655279522,14,2
1655280122,21,3
1655280722,6,0
1655281322,1,1
1655281923,14,11
1655282522,18,8
1655283722,8,0
1655284922,5,28
1655286122,9,0
1655287322,3,9
1655288522,3,5
1655289122,13,0
1655289722,15,15
1655290922,0,3
1655291522,4,23
1655292122,4,0
1655292722,3,0
1655293322,9,23
1655294522,2,0
1655295722,13,4
1655296922,6,17
1655297522,20,0
1655298122,18,5
1655298722,26,49
1655300522,9,21
1655301722,14,0
1655302922,7,12
1655303522,5,2
1655304122,5,0
1655305322,10,19
1655306521,15,0
1655307722,19,4
1655308922,9,30
1655309522,6,13
1655311322,5,4
1655311922,1,4
1655312522,12,2
1655313722,17,2
1655314922,15,27
1655316122,32,0
1655316722,20,8
1655317922,16,11
1655318522,2,6
1655319722,10,0
1655320922,13,23
1655321523,6,0
1655322122,13,0
1655323322,17,27
1655324522,18,11
1655325122,19,0
1655325722,7,8
1655326322,25,13
1655326922,8,0
1655327522,24,5
1655328122,15,9
1655329322,7,0
1655330522,8,4
1655331722,13,0
1655332922,7,20
1655334122,14,16
1655335322,18,112
1655335922,4,0
1655336522,4,0
1655337722,21,8
1655338922,8,9
1655339522,4,8
1655340122,31,0
1655341322,22,14
1655342522,15,0
1655343722,14,13
1655344922,7,18
1655346122,9,5
1655347322,6,7
1655347922,16,16
1655348522,24,0
1655349722,2,0
1655350922,8,37
1655351522,21,0
1655352121,11,0
1655352722,4,27
1655354522,22,14
1655355722,9,42
1655356322,5,0
1655356922,23,0
1655358122,7,18
1655359322,20,25
1655359922,27,0
1655360522,4,5
1655361123,2,0
1655361722,16,2
1655362922,7,5
1655363522,3,0
1655364122,1,0
1655365322,23,5
1655366522,4,21
1655367123,2,8
1655367722,4,15
1655368322,17,0
1655368922,21,28
1655369522,5,14
1655370122,12,12
1655370722,15,0
1655371322,22,13
1655371923,17,0
1655372522,3,0
1655373722,14,29
1655374322,14,0
1655374922,21,0
1655375522,19,6
1655376122,15,18
1655377322,15,7
1655378522,3,1
1655379722,11,4
1655380922,7,9
1655382122,12,0
1655383322,6,15
1655383922,8,45
1655385122,12,31
1655385722,13,8
1655386923,8,0
1655388122,1,7
1655389321,12,0
1655389923,14,43
1655390522,3,0
1655391722,9,6
1655392322,8,0
1655393523,14,8
1655394122,18,6
1655394722,12,0
1655395922,13,2
1655396522,16,0
1655397722,4,5
1655398322,2,6
1655398922,5,0
1655399522,12,14
1655400122,15,0
1655401322,15,5
1655402522,5,7
1655403722,3,11
1655404922,15,6
1655405521,10,5
1655406121,1,5
1655407321,12,6
1655408522,9,5
1655409721,17,25
1655410322,8,0
1655411522,7,23
1655412122,11,11
1655413322,16,29
1655413922,3,18
1655415722,20,24
1655416922,5,0
1655418122,7,17
1655419322,13,0
1655420522,2,15
1655421122,3,25
1655421722,3,0
1655422922,8,10
1655423522,1,0
1655424123,11,20
1655424722,17,3
1655425322,2,0
1655425922,3,15
1655426522,3,28
1655427122,2,0
1655427721,15,0
1655428922,5,17
1655430122,7,0
1655431322,11,19
1655432522,13,1
1655433122,3,0
1655433722,8,0
1655434922,9,38
1655435522,9,0
1655436122,23,0
1655436723,9,6
1655437322,1,0
1655438522,15,23
1655439122,12,8
1655440322,15,8
1655440922,19,14
1655441522,4,0
1655442122,7,6
1655443322,11,18
1655443922,11,0
1655444522,15,0
1655445722,23,9
1655446322,5,36
1655447522,16,7
1655448122,24,11
1655448722,23,0
1655449922,9,11
1655450522,19,6
1655451722,2,24
1655452922,11,2
1655453523,21,2
1655454122,21,5
1655455322,4,31
1655455922,26,1
1655456522,5,0
1655457122,7,0
1655457722,10,22
1655458922,25,29
1655460122,13,32
1655460722,17,24
