DateTime,AddedIPs,RemovedIPs
1653801299,163,0
1653803999,74,0
1653807599,116,0
1653809399,74,0
1653815699,190,0
1653817500,67,0
1653819299,47,0
1653824698,180,0
1653828300,100,0
1653830999,77,0
1653832799,49,0
1653835499,72,0
1653839098,99,0
1653840898,62,0
1653843599,100,0
1653851699,231,0
1653857098,131,0
1653860699,114,0
1653865198,137,0
1653867899,96,0
1653868798,22,3077
1653872399,124,0
1653875999,140,0
1653879599,95,0
1653884099,180,0
1653888599,175,0
1653890398,103,0
1653897599,280,1
1653901198,176,0
1653905699,232,0
1653909298,192,0
1653916498,376,0
1653919198,127,0
1653921899,133,0
1653929099,338,0
1653929998,38,0
1653930898,28,0
1653935399,165,0
1653938099,86,0
1653945299,231,0
1653946199,29,0
1653951599,143,0
1653955199,123,2833
1653957899,88,0
1653958798,31,0
1653962399,121,0
1653963299,20,0
1653965998,97,0
1653970499,227,0
1653971399,31,0
1653974999,162,0
1653976799,71,0
1653980398,151,0
1653983099,139,0
1653986699,184,0
1653987598,49,0
1653991199,201,0
1653998398,405,0
1654000199,111,0
1654003798,159,0
1654007399,200,0
1654011899,237,0
1654017299,217,0
1654020898,154,0
1654024498,132,0
1654027198,122,0
1654030798,143,0
1654034398,106,0
1654037098,115,0
1654040699,84,0
1654044299,195,3490
1654050599,210,0
1654056899,258,0
1654059599,196,0
1654064998,315,0
1654067698,153,0
1654069498,88,0
1654075799,345,0
1654081198,281,0
1654084799,208,0
1654087498,209,0
1654090199,159,0
1654094698,213,0
1654095599,68,0
1654099198,148,0
1654102798,129,0
1654103699,32,0
1654105498,82,0
1654106398,41,0
1654109098,93,0
1654109999,35,0
1654112699,78,0
1654114498,84,0
1654118999,124,0
1654120798,68,0
1654127999,190,3636
1654130699,102,0
1654134299,141,0
1654137898,134,0
1654143299,202,0
1654148698,236,0
1654150498,82,0
1654152299,80,0
1654155899,192,0
1654158598,113,0
1654165799,325,0
1654169398,167,0
1654172098,165,0
1654177498,251,0
1654181099,157,0
1654181998,32,0
1654185599,138,0
1654189198,133,0
1654192799,164,0
1654196399,127,0
1654203599,273,0
1654208098,188,0
1654210798,70,0
1654216197,253,3748
1654219798,144,0
1654226999,267,0
1654228799,54,0
1654230598,75,0
1654232398,87,0
1654239598,376,0
1654243198,187,0
1654246798,230,0
1654250399,191,0
1654253998,179,0
1654257599,202,0
1654261199,196,0
1654264798,211,0
1654265698,30,0
1654267499,82,0
1654268398,43,0
1654271999,114,0
1654276498,130,0
1654278298,68,0
1654281899,127,0
1654289998,278,0
1654296298,224,0
1654303498,204,3704
1654309798,244,0
1654311599,77,0
1654313398,70,0
1654316998,162,0
1654317898,45,0
1654320598,133,0
1654322399,66,0
1654324199,44,0
1654325098,33,0
1654328698,160,0
1654332298,140,0
1654333198,32,0
1654335898,123,0
1654340398,189,0
1654343998,158,0
1654344897,64,0
1654347598,113,0
1654348498,40,0
1654352098,143,0
1654355698,103,0
1654359298,116,0
1654362899,100,0
1654366498,126,0
1654371897,174,0
1654372799,37,0
1654379997,217,0
1654383599,102,0
1654387198,87,3965
1654394399,292,0
1654396197,72,0
1654399798,142,0
1654403398,119,0
1654406997,154,0
1654411497,158,1
1654415098,150,0
1654415998,39,0
1654419599,165,0
1654420498,36,0
1654423199,88,0
1654424098,35,0
1654426799,124,0
1654429498,132,0
1654431298,86,0
1654436698,185,0
1654437598,35,0
1654444798,249,0
1654450199,206,0
1654453798,130,0
1654454698,48,0
1654458298,102,0
1654460999,74,0
1654461898,59,0
1654465498,101,0
1654468198,84,0
1654469098,23,0
1654473598,116,3369
1654480798,269,0
1654484398,136,0
1654488898,263,0
1654492499,155,0
1654494298,66,0
1654496998,126,0
1654498799,69,0
1654502398,134,0
1654504198,82,0
1654511397,341,0
1654518598,425,0
1654523098,297,0
1654530298,425,0
1654531198,35,0
1654533898,108,0
1654534798,35,0
1654536598,64,0
1654540198,199,0
1654543798,153,0
1654548299,174,0
1654551898,108,1
1654555498,138,0
1654559098,94,0
1654560899,59,3262
1654566298,232,0
1654569899,150,0
1654574398,171,0
1654575298,43,0
1654578899,158,0
1654581598,123,0
1654588798,348,0
1654590597,84,0
1654592398,73,0
1654597798,329,0
1654601398,199,0
1654604997,219,0
1654608597,186,0
1654613098,202,0
1654613998,63,1
1654616698,118,0
1654617598,38,0
1654620299,217,0
1654622098,96,0
1654625698,243,0
1654629298,368,0
1654631998,169,0
1654633798,87,0
1654638297,147,0
1654642798,129,0
1654649998,194,3535
1654654498,179,0
1654657198,78,0
1654658098,27,0
1654658999,31,0
1654660799,57,0
1654661698,24,0
1654662597,40,0
1654666199,137,0
1654668898,100,0
1654669799,37,0
1654673398,140,0
1654677898,263,0
1654679698,82,0
1654681497,214,0
1654685097,168,0
1654688699,171,0
1654692298,208,1
1654699497,312,0
1654700398,35,0
1654703098,140,0
1654703997,32,0
1654707597,175,0
1654712999,494,0
1654715698,98,0
1654719298,109,0
1654721998,264,0
1654722898,30,0
1654730998,220,1
1654734598,82,3949
1654735497,49,0
1654736398,55,0
1654738198,98,0
1654741797,144,0
1654742698,27,0
1654743598,25,0
1654748098,163,0
1654749898,51,0
1654751697,54,0
1654757998,263,0
1654764298,207,0
1654765198,72,0
1654767898,116,0
1654768798,30,0
1654772398,177,0
1654775998,163,0
1654783198,595,0
1654785897,97,0
1654787697,104,0
1654793098,256,0
1654795797,118,0
