DateTime,AddedIPs,RemovedIPs
1648139581,1,0
1648150382,0,1
1648153983,1,0
1648157581,1,2
1648164782,0,1
1648194454,1,0
1648208850,0,1
1648223258,0,1
1648226859,1,0
1648230458,0,2
1648241259,0,1
1648244858,1,0
1648248456,0,1
1648252059,2,1
1648262853,0,1
1648270062,0,1
1648277247,1,0
1648288058,1,0
1648302458,1,0
1648306053,1,0
1648309653,1,0
1648316858,0,1
1648331255,1,0
1648334857,1,0
1648342053,1,0
1648345658,1,0
1648349254,1,0
1648352855,1,0
1648356454,1,0
1648370863,0,1
1648381656,1,0
1648396060,1,0
1648406854,2,2
1648414063,0,1
1648421265,1,0
1648435646,0,1
1648446428,0,1
1648450026,0,1
1648467984,0,1
1648511258,1,0
1648532852,0,2
1648590383,0,1
1648593984,0,1
1648597666,0,1
1648604857,3,0
1648612058,0,1
1648615659,0,1
1648619258,2,0
1648622871,0,2
1648633656,0,1
1648637257,0,1
1648651584,0,1
1648684060,1,0
1648702058,1,1
1648709258,0,1
1648752452,0,1
1648766853,0,2
1648770457,1,0
1648774056,1,0
1648792058,1,1
1648799258,3,0
1648813655,0,1
1648838859,0,2
1648853256,0,1
1648856856,1,0
1648860459,0,1
1648871256,0,1
1648882059,2,0
1648885662,1,1
1648889251,0,1
1648907258,0,1
1648910853,0,2
1648914453,0,1
1648918053,0,1
1648925253,0,1
1648932454,0,1
1648936049,0,1
1648939658,0,1
1648943263,1,0
1648946858,1,2
1648950462,1,0
1648954054,0,2
1648957666,0,2
1648964862,0,1
1648968456,1,0
1648972059,2,0
1648979259,0,1
1648986454,0,2
1649000857,0,1
1649004462,0,2
1649015256,0,1
1649022456,0,2
1649029657,0,3
1649036856,2,0
1649044052,1,0
1649051259,1,0
1649062065,1,0
1649112459,0,4
1649126858,0,2
1649130459,2,0
1649134058,0,1
1649141263,1,0
1649209653,1,0
1649213253,1,2
1649216856,0,2
1649224055,1,0
1649227655,1,0
1649285251,0,2
1649288854,0,1
1649292456,1,1
1649299677,1,0
1649310456,0,3
1649375252,1,0
1649378853,0,2
1649382449,0,2
1649386053,1,0
1649396850,1,0
1649400459,0,1
1649404057,1,3
1649461650,0,2
1649472454,1,0
1649476050,1,0
1649479648,0,1
1649486852,0,2
1649548051,0,1
1649551652,1,2
1649555254,0,3
1649562453,1,0
1649566049,1,1
1649569647,0,1
1649576852,1,0
1649580449,1,0
1649645252,1,0
1649648848,1,0
1649717254,0,1
1649735252,0,2
